project,site,geom,longitude,latitude
NT Bushfires - Cape York,S_k_232,POINT (142.92791015681044 -15.415041680521616),142.9279,-15.415
NT Bushfires - Cape York,S_k_233,POINT (142.71652962311552 -15.535296860922026),142.7165,-15.5353
NT Bushfires - Cape York,S_k_234,POINT (142.71904567438216 -15.535075297586467),142.719,-15.5351
NT Bushfires - Cape York,S_k_235,POINT (141.72185515423752 -13.665777001417348),141.7219,-13.6658
NT Bushfires - Cape York,S_k_236,POINT (141.5882353174867 -13.70593735456959),141.5882,-13.7059
NT Bushfires - Cape York,S_k_237,POINT (141.59700452677447 -13.707646490422444),141.597,-13.7076
NT Bushfires - Cape York,S_k_238,POINT (141.61114335097315 -13.70764698294155),141.6111,-13.7076
NT Bushfires - Cape York,S_k_239,POINT (141.70897516149137 -13.686422878446955),141.709,-13.6864
NT Bushfires - Cape York,S_k_240,POINT (141.717677164537 -13.683567935568842),141.7177,-13.6836
NT Bushfires - Kimberley,S_k_241,POINT (126.30290659434216 -16.526800209815164),126.3029,-16.5268
NT Bushfires - Kimberley,S_k_242,POINT (126.2394863314515 -16.542299657086662),126.2395,-16.5423
NT Bushfires - Kimberley,S_k_243,POINT (126.22105855731795 -16.54451098992164),126.2211,-16.5445
NT Bushfires - Kimberley,S_k_244,POINT (126.34293616034591 -16.793715201501186),126.3429,-16.7937
NT Bushfires - Kimberley,S_k_245,POINT (127.24833386757355 -15.919079867228279),127.2483,-15.9191
NT Bushfires - Kimberley,S_k_246,POINT (127.24261545490303 -15.941225066624295),127.2426,-15.9412
NT Bushfires - Kimberley,S_k_247,POINT (127.74913917271705 -15.74519370489117),127.7491,-15.7452
NT Bushfires - Kimberley,S_k_248,POINT (127.74502948520337 -15.746609907983482),127.745,-15.7466
NT Bushfires - Kimberley,S_k_249,POINT (127.56203721022494 -15.495504726142112),127.562,-15.4955
NT Bushfires - Kimberley,S_k_250,POINT (127.55180734656386 -15.482327674254705),127.5518,-15.4823
NT Bushfires - Kimberley,S_k_251,POINT (127.70414003821064 -15.776553007861196),127.7041,-15.7766
NT Bushfires - Kimberley,S_k_252,POINT (127.70839959432924 -15.776611561842879),127.7084,-15.7766
